DATE,MONTH,TIME,TYPE OF EMR (CATEGORY),INVOLVED,LOCATION,DISTRICT ,LATITUDE (degrees),LONGTITUDE (decimal),LATITUDE (decimal),LONGTITUDE (decimal)
"Apr 12, 2022",April 2022,10:25:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Tayuman,District 2," 14°34'43.68""N","120°58'40.63""E",14.5788,120.977953
"Apr 13, 2022",April 2022,2:48:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs SUV,Roxas Blvd. cor. UN Ave,District 3," 14°34'26.01""N","120°58'59.21""E",14.573892,120.983114
"Apr 16, 2022",April 2022,9:35:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs PUJ,"P. Gil St. Cor. Mabini St. Malate, Mla",District 5," 14°33'34.94""N","120°59'14.63""E",14.559706,120.987397
"Apr 18, 2022",April 2022,6:07:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Sedan, p. Ocampo cor. Service Road,District 5,,,,
"Apr 18, 2022",April 2022,12:17:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control), concerned citizeninvolving mc loss of control avoiding pedestrian,," 14°36'43.82""N","120°57'38.20""E",14.612172,120.960611
"Apr 19, 2022",April 2022,9:47:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,road 10 Mel Lopez cor. chesa,District 1," 14°35'13.42""N","120°58'50.45""E",14.587061,120.980681
"Apr 22, 2022",April 2022,10:08:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs SUV, p.burgos infront of national museum,District 5," 14°35'51.73""N","120°59'2.10""E",14.597703,120.983917
"Apr 22, 2022",April 2022,5:43:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs PUV,Quiapo Manila,District 3," 14°35'51.08""N","120°59'17.42""E",14.597522,120.988172
"Apr 23, 2022",April 2022,6:21:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control), 2nd st corner  conception aguila,District 3," 14°35'19.66""N","120°58'51.88""E",14.588794,120.981078
"Apr 23, 2022",April 2022,3:02:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Lagusnilad Ilalim,District 5," 14°36'12.82""N","121° 1'0.20""E",14.603561,121.016722
"Apr 24, 2022",April 2022,10:48:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs PUJ,sta ana manila,District 6," 14°34'13.62""N","120°59'29.66""E",14.570506,120.991572
"Apr 24, 2022",April 2022,8:47:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Quirino cor Taft avenue,District 5," 14°37'16.05""N","120°58'5.42""E",14.621125,120.968172
"Apr 25, 2022",April 2022,7:54:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Truck,Manila Harbour Centre in front of Oceanic Container Lines,District 1," 14°35'19.78""N","120°58'56.23""E",14.588828,120.982286
"Apr 25, 2022",April 2022,7:45:00 PM,Vehicular / Road Traffic Accident,Bicycle (Loss of Control), LANDBANK-YMCA ,District 5," 14°34'54.17""N","120°58'50.61""E",14.581714,120.980725
"Apr 25, 2022",April 2022,2:07:00 AM,Vehicular / Road Traffic Accident,PUV vs Pedestrian,Kalaw Taft Manila,District 5," 14°35'34.02""N","121° 1'6.05""E",14.592783,121.018347
"Apr 26, 2022",April 2022,4:44:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Lubiran Bacood Sta. Mesa Manila,District 6," 14°35'25.34""N","120°58'50.90""E",14.590372,120.980806
"Apr 28, 2022",April 2022,7:29:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Pedestrian, p.burgos cor. Natividad,District 5," 14°33'55.79""N","120°59'48.38""E",14.565497,120.996772
